X,Y,pH,Ca
40.264401,-85.164499,7.4,65.6
40.264403,-85.165045,7.5,66.7
40.264524,-85.166657,7.3,67.2
40.264522,-85.166135,7.2,68.4
40.264536,-85.163435,7.8,65
40.264538,-85.163957,5.9,58.3
40.264672,-85.165593,7.5,68.4
40.264803,-85.165051,6.5,65
40.264794,-85.164513,6.4,61.6
40.264938,-85.163971,5.8,53
40.264948,-85.163432,7,61
40.264944,-85.162372,7.9,76
40.264942,-85.166662,7.8,66.3
40.26494,-85.166132,6.8,65.9
40.265071,-85.16559,6.9,68.4
40.265079,-85.162898,5.8,56.3
40.265212,-85.164866,6.6,65.1
40.26521,-85.164344,6.3,61.6
40.26536,-85.163802,5.8,56.8
40.265352,-85.163264,6.2,59.4
40.265346,-85.166486,6.2,50.1
40.26535,-85.165947,6.5,63.5
40.265487,-85.165414,6.4,59.5
40.265502,-85.16273,5.5,54.8
40.265635,-85.164333,6.6,62.8
40.265631,-85.16488,6.2,61.4
40.265758,-85.166491,6.3,62.8
40.265756,-85.165953,6.6,65.8
40.265773,-85.163799,6.1,54.4
40.26577,-85.163269,5.6,53
40.26592,-85.162727,5.4,53.2
40.2659,-85.165419,6.3,60.5
40.266036,-85.165233,6.3,61
40.266034,-85.164703,7,74.8
40.26617,-85.166845,6.6,65.3
40.266174,-85.166323,6.3,63
40.266178,-85.164169,6.4,58.5
40.266176,-85.163631,5.8,54.7
40.266184,-85.162554,6.2,61.1
40.26632,-85.163089,5.3,48.9
40.266305,-85.165781,6,54.7
40.266446,-85.165065,6.7,56.7
40.26645,-85.164534,6.5,57.3
40.266594,-85.163992,5.8,56.2
40.266605,-85.163462,5.9,58.2
40.2666,-85.162385,5.8,55.9
40.266729,-85.16292,6.3,60.9
40.266586,-85.166676,6.3,61.5
40.266584,-85.166146,6.4,52.5
40.266715,-85.165604,6,54.2
40.266862,-85.164896,7.1,62.3
40.266873,-85.164349,6,55.1
40.266991,-85.163816,5.5,50.7
40.267001,-85.163277,5.8,57.1
40.266995,-85.166499,6.4,62
40.267,-85.165969,6.8,61.6
40.267137,-85.165419,5.8,48.9
40.267152,-85.162743,5.6,53.6
40.267279,-85.164346,5.8,52.4
40.267268,-85.164885,6,53.9
40.267416,-85.163813,5.8,44.4
40.267414,-85.163266,5.3,49.8
40.267402,-85.166497,6.3,59.6
40.267399,-85.165966,6.6,57.9
40.267537,-85.165424,6.3,55.2
40.267684,-85.165081,6.5,60.7
40.267694,-85.164534,6.2,55.3
40.267825,-85.162402,6.9,66.6
40.26781,-85.163471,5.7,54.8
40.267819,-85.164,5.6,51.9
40.267811,-85.166693,6.6,64.4
40.267815,-85.166146,5.8,54.2
